1,clientid,distance,error
32,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
33,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
34,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
35,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
36,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
37,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
38,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
39,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
40,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
41,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
42,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
43,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
44,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
45,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
46,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
47,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
48,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
49,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
50,0,163.08153241416053,"[1.0926671110949835, 0.9863900585199098, 0.9823041561844009, 0.9298424241268819, 0.8792900620970882, 0.8394483559945435, 0.8391457670344292, 0.8212810279881361, 0.7342881230608677, 0.7738730728268419, 0.7627448587331723, 0.8186155401719782, 0.7874548835472218, 0.7730031698737709, 0.807108853683259, 0.8513478905371491, 0.7328320388038407, 0.7281871961484029, 0.6853745466107775, 0.6880091438213711, 0.6723156787493421, 0.7085018534577526, 0.682147217451197, 0.7420662772517466, 0.8205547439729983, 0.8350911262360486, 0.7254912615921444, 0.7847887722465432, 0.7192303309437545, 0.8535695099886859, 0.7061995719886971, 0.7925570485905759, 0.7278364844760805, 0.8060194185166579, 0.8220593543854218, 0.7749681108811707, 0.7448867266585549, 0.8030731603247633, 0.7752436415178903, 0.8010533931145946, 0.7995194232867676, 0.7525855824095716, 0.7114564655716076, 0.6410255993606193, 0.7048034526113784]"
